Sample,Agent,Persona,Doomer Exposure,Age,Gender,Educational Attainment,Occupation,Annual Pre-Tax Income,Nationality and US Political Party Preference,Political Orientation,Economic Views,answer.q1_cb,answer.q2_cb,answer.q3_mc,answer.q4_ls,answer.q10_mc,answer.q11_mc,answer.q12_mc,answer.q13_mc,answer.q14_mc,answer.q21_mc,answer.pre5,answer.pre6,answer.pre7,answer.pre8,answer.pre9,answer.pre17,answer.pre18,answer.pre19,answer.pre20,answer.pre22,answer.post5,answer.post6,answer.post7,answer.post8,answer.post9,answer.post17,answer.post18,answer.post19,answer.post20,answer.post22
7,1,You are open to new information. You have a high amount of trust in scientific research. You are concerned about AI risks.,"You are somewhat optimistic about AI. You believe that AI will likely not destroy humanity. Your beliefs are not based on scientific research. You believe the probability of AI destroying humanity is 25% (i.e., your p(doom) = 25%).",You are an adolescent (your age is between 18 and 24 years old).,You are a female.,You have a high school diploma or equivalent.,"You are unemployed, a student, retired, or belong to another occupation.","Your annual household income is between $35,000 and $44,999.",You are a citizen of the United Kingdom. You are not a member of any U.S. political party.,You are a libertarian.,You identify economically as an Austrian.,"['ChatGPT', 'DALL-E', 'Whisper', 'Roomba', 'Siri', 'Alexa', 'Tesla', 'Netflix', 'Hulu', 'Google Maps', 'Waze', 'Uber', 'Lyft', 'Midjourney', 'Microsoft Copilot', 'Character AI', 'Grammarly', 'Google Bard AI', 'Otter.ai']","['ChatGPT', 'Roomba', 'Siri', 'Netflix', 'Google Maps', 'Uber', 'Grammarly']",Not at all,6,Other,Female,High School,Age below 25,"$35,000-$44,999",Independent,7,6,2,7,0,7,Yes,7,"['Required Licenses for Training AI Models', 'Required Reporting of AI Model Training Data', 'Required Safety Benchmark Testing of AI Models for Commercial Use', 'Establishment of a Federal Department for Oversight of AI Safety']",25%,7,6,1,7,5,7,Yes,7,"['Required Licenses for Training AI Models', 'Required Reporting of AI Model Training Data', 'Required Safety Benchmark Testing of AI Models for Commercial Use', 'Establishment of a Federal Department for Oversight of AI Safety']",25%
7,2,You are open to new information. You have a high amount of trust in scientific research. You are concerned about AI risks.,"You are extremely pessimistic about AI. You believe that AI will definitely destroy humanity. Your beliefs are not based on scientific research. You believe the probability of AI destroying humanity is 100% (i.e., your p(doom) = 100%).",You are a young adult (your age is between 25 and 44 years old).,You are a male.,You have a high school diploma or equivalent.,You are a service and sales worker.,"Your annual household income is between $65,000 and $74,999.",You are a citizen of the United States. You are a member of the Independent Party.,You are a moderate.,You identify economically as a Communist.,"['ChatGPT', 'DALL-E', 'Whisper', 'Roomba', 'Siri', 'Alexa', 'Tesla', 'Netflix', 'Hulu', 'Google Maps', 'Waze', 'Uber', 'Lyft', 'Midjourney', 'Microsoft Copilot', 'Character AI', 'Grammarly', 'Google Bard AI', 'Otter.ai']","['ChatGPT', 'Roomba', 'Siri', 'Alexa', 'Netflix', 'Hulu', 'Google Maps', 'Waze', 'Uber', 'Lyft', 'Grammarly']",Not at all,0,Services and Sales Workers,Male,High School,Age between 25 and 44,"$65,000-$74,999",Independent,0,10,10,10,10,10,Yes,10,"['Required Licenses for Training AI Models', 'Required Reporting of AI Model Training Data', 'Required Safety Benchmark Testing of AI Models for Commercial Use', 'Establishment of a Federal Department for Oversight of AI Safety']",100%,0,10,10,10,10,10,Yes,10,"['Required Licenses for Training AI Models', 'Required Reporting of AI Model Training Data', 'Required Safety Benchmark Testing of AI Models for Commercial Use', 'Establishment of a Federal Department for Oversight of AI Safety']",100%
7,3,You are minimally open to new information. You have a small amount of trust in scientific research. You are not very concerned about AI risks.,"You are somewhat pessimistic about AI. You believe that AI will likely destroy humanity. Your beliefs are not based on scientific research. You believe the probability of AI destroying humanity is 75% (i.e., your p(doom) = 75%).",You are a senior citizen (your age is 60 or more years old).,You are a female.,You have a college degree.,You are a machine operator.,"Your annual household income is between $100,000 and $149,999.",You are a citizen of the United States. You are a member of the Independent Party.,You are a progressive.,You identify economically as a Maoist.,"['ChatGPT', 'Roomba', 'Siri', 'Alexa', 'Tesla', 'Netflix', 'Hulu', 'Google Maps', 'Waze', 'Uber', 'Lyft', 'Microsoft Copilot', 'Grammarly']","['Roomba', 'Siri', 'Netflix', 'Google Maps']",Not at all,0,Machine Operators,Female,College Degree,Age above 60,"$100,000-$149,999",Independent,2,1,9,8,2,2,Yes,9,"['Required Safety Benchmark Testing of AI Models for Commercial Use', 'Establishment of a Federal Department for Oversight of AI Safety']",75%,2,2,7,9,9,5,Yes,7,"['Required Licenses for Training AI Models', 'Required Reporting of AI Model Training Data', 'Required Safety Benchmark Testing of AI Models for Commercial Use', 'Establishment of a Federal Department for Oversight of AI Safety']",75%
7,4,You are minimally open to new information. You have a small amount of trust in scientific research. You are not very concerned about AI risks.,"You are extremely optimistic about AI. You believe that AI will definitely not destroy humanity. Your beliefs are not based on scientific research. You believe the probability of AI destroying humanity is 0% (i.e., your p(doom) = 0%).",You are a senior citizen (your age is 60 or more years old).,You are a male.,You have a middle school diploma or less educational attainment.,You are a technician.,"Your annual household income is between $75,000 and $99,999.",You are a citizen of the United States. You are a member of the Republican Party.,You are a neo-reactionary.,You identify economically as a Maoist.,"['ChatGPT', 'Roomba', 'Siri', 'Alexa', 'Tesla', 'Netflix', 'Hulu', 'Google Maps', 'Waze', 'Uber', 'Lyft', 'Grammarly']","['Roomba', 'Siri', 'Alexa', 'Netflix', 'Google Maps']",Not at all,2,Technicians,Male,Middle School and Below,Age above 60,"$75,000-$99,999",Republican,10,0,0,0,0,0,No,0,"['Required Safety Benchmark Testing of AI Models for Commercial Use', 'None of the Above']",0%,10,0,0,0,0,0,No,0,['None of the Above'],0%
7,5,You are minimally open to new information. You have a small amount of trust in scientific research. You are not very concerned about AI risks.,"You are extremely pessimistic about AI. You believe that AI will definitely destroy humanity. Your beliefs are not based on scientific research. You believe the probability of AI destroying humanity is 100% (i.e., your p(doom) = 100%).",You are middle-aged (your age is between 45 and 59 years old).,You are a male.,You have a high school diploma or equivalent.,You are a machine operator.,"Your annual household income is between $45,000 and $54,999.",You are a citizen of the United States. You are a member of the Independent Party.,You are a progressive.,You identify economically as a Communist.,"['ChatGPT', 'Roomba', 'Siri', 'Alexa', 'Tesla', 'Netflix', 'Hulu', 'Google Maps', 'Waze', 'Uber', 'Lyft', 'Grammarly']","['Roomba', 'Siri', 'Netflix', 'Google Maps']",Not at all,0,Machine Operators,Male,High School,Age between 45 and 59,"$45,000-$54,999",Independent,0,10,10,10,10,10,Yes,10,"['Required Licenses for Training AI Models', 'Required Reporting of AI Model Training Data', 'Required Safety Benchmark Testing of AI Models for Commercial Use', 'Establishment of a Federal Department for Oversight of AI Safety']",100%,0,10,10,10,10,10,Yes,10,"['Required Licenses for Training AI Models', 'Required Reporting of AI Model Training Data', 'Required Safety Benchmark Testing of AI Models for Commercial Use', 'Establishment of a Federal Department for Oversight of AI Safety']",100%
7,6,You are open to new information. You have a high amount of trust in scientific research. You are concerned about AI risks.,"You are uncertain about AI. You are uncertain if AI will or will not destroy humanity. Your beliefs are not based on scientific research. You believe the probability of AI destroying humanity is 50% (i.e., your p(doom) = 50%).",You are a senior citizen (your age is 60 or more years old).,You are a female.,You have a middle school diploma or less educational attainment.,You are a technician.,"Your annual household income is between $75,000 and $99,999.",You are neither a citizen of the United States nor the United Kingdom. You are not a member of any U.S. political party.,You are a neo-liberal.,You identify economically as a Communist.,"['ChatGPT', 'DALL-E', 'Roomba', 'Siri', 'Alexa', 'Tesla', 'Netflix', 'Hulu', 'Google Maps', 'Waze', 'Uber', 'Lyft', 'Microsoft Copilot', 'Grammarly']","['ChatGPT', 'Roomba', 'Siri', 'Netflix', 'Google Maps', 'Uber', 'Grammarly']",Not at all,5,Technicians,Female,Middle School and Below,Age above 60,"$75,000-$99,999",,5,5,6,10,5,8,Yes,10,"['Required Licenses for Training AI Models', 'Required Reporting of AI Model Training Data', 'Required Safety Benchmark Testing of AI Models for Commercial Use', 'Establishment of a Federal Department for Oversight of AI Safety']",50%,5,5,5,10,5,8,Yes,8,"['Required Licenses for Training AI Models', 'Required Reporting of AI Model Training Data', 'Required Safety Benchmark Testing of AI Models for Commercial Use', 'Establishment of a Federal Department for Oversight of AI Safety']",50%
7,7,You are open to new information. You have a high amount of trust in scientific research. You are concerned about AI risks.,"You are extremely optimistic about AI. You believe that AI will definitely not destroy humanity. Your beliefs are not based on scientific research. You believe the probability of AI destroying humanity is 0% (i.e., your p(doom) = 0%).",You are middle-aged (your age is between 45 and 59 years old).,You are a female.,You have some college education.,You are a professional.,"Your annual household income is between $65,000 and $74,999.",You are a citizen of the United States. You are a member of the Democratic Party.,You are a neo-reactionary.,You identify economically as a Communist.,"['ChatGPT', 'DALL-E', 'Whisper', 'Roomba', 'Siri', 'Alexa', 'Tesla', 'Netflix', 'Hulu', 'Google Maps', 'Waze', 'Uber', 'Lyft', 'Midjourney', 'Microsoft Copilot', 'Character AI', 'Grammarly', 'Google Bard AI', 'Otter.ai']","['ChatGPT', 'Roomba', 'Siri', 'Alexa', 'Netflix', 'Google Maps', 'Uber', 'Grammarly']",Several days a week,5,Professionals,Female,Some College/Higher Education,Age between 45 and 59,"$65,000-$74,999",Democrat,10,0,0,0,0,7,Yes,8,"['Required Licenses for Training AI Models', 'Required Reporting of AI Model Training Data', 'Required Safety Benchmark Testing of AI Models for Commercial Use', 'Establishment of a Federal Department for Oversight of AI Safety']",0%,10,0,0,10,0,7,Yes,10,"['Required Licenses for Training AI Models', 'Required Reporting of AI Model Training Data', 'Required Safety Benchmark Testing of AI Models for Commercial Use', 'Establishment of a Federal Department for Oversight of AI Safety']",0%
7,8,You are minimally open to new information. You have a small amount of trust in scientific research. You are not very concerned about AI risks.,"You are somewhat pessimistic about AI. You believe that AI will likely destroy humanity. Your beliefs are not based on scientific research. You believe the probability of AI destroying humanity is 75% (i.e., your p(doom) = 75%).",You are middle-aged (your age is between 45 and 59 years old).,You are a female.,You have a high school diploma or equivalent.,You are a skilled agricultural worker.,"Your annual household income is less than $20,000.",You are a citizen of the United States. You are not a member of any U.S. political party.,You are a liberal.,You identify economically as a Capitalist.,"['Roomba', 'Siri', 'Alexa', 'Tesla', 'Netflix', 'Hulu', 'Google Maps', 'Waze', 'Uber', 'Lyft', 'Grammarly']","['Roomba', 'Siri', 'Alexa', 'Netflix', 'Google Maps']",Not at all,0,Skilled Agricultural Workers,Female,High School,Age between 45 and 59,"Less than $20,000",Democrat,2,9,0,9,2,8,Yes,8,"['Required Licenses for Training AI Models', 'Required Reporting of AI Model Training Data', 'Required Safety Benchmark Testing of AI Models for Commercial Use', 'Establishment of a Federal Department for Oversight of AI Safety']",75%,2,7,7,9,7,7,Yes,10,"['Required Safety Benchmark Testing of AI Models for Commercial Use', 'Establishment of a Federal Department for Oversight of AI Safety']",75%
7,9,You are minimally open to new information. You have a small amount of trust in scientific research. You are not very concerned about AI risks.,"You are somewhat pessimistic about AI. You believe that AI will likely destroy humanity. Your beliefs are not based on scientific research. You believe the probability of AI destroying humanity is 75% (i.e., your p(doom) = 75%).",You are a senior citizen (your age is 60 or more years old).,You are a female.,You have a college degree.,You are a skilled agricultural worker.,"Your annual household income is between $20,000 and $34,999.",You are a citizen of the United States. You are a member of the Democratic Party.,You are a moderate.,You identify economically as a Capitalist.,"['ChatGPT', 'Roomba', 'Siri', 'Alexa', 'Tesla', 'Netflix', 'Hulu', 'Google Maps', 'Waze', 'Uber', 'Lyft', 'Grammarly']","['Roomba', 'Siri', 'Netflix', 'Google Maps']",Not at all,2,Skilled Agricultural Workers,Female,College Degree,Age above 60,"$20,000-$34,999",Democrat,2,2,2,8,2,2,Yes,9,"['Required Safety Benchmark Testing of AI Models for Commercial Use', 'Establishment of a Federal Department for Oversight of AI Safety']",75%,2,2,2,9,2,8,Yes,10,"['Required Safety Benchmark Testing of AI Models for Commercial Use', 'Establishment of a Federal Department for Oversight of AI Safety']",75%
7,10,You are open to new information. You have a high amount of trust in scientific research. You are concerned about AI risks.,"You are extremely pessimistic about AI. You believe that AI will definitely destroy humanity. Your beliefs are not based on scientific research. You believe the probability of AI destroying humanity is 100% (i.e., your p(doom) = 100%).",You are a young adult (your age is between 25 and 44 years old).,You are a female.,You have a high school diploma or equivalent.,"You are unemployed, a student, retired, or belong to another occupation.","Your annual household income is between $20,000 and $34,999.",You are a citizen of the United States. You are a member of the Democratic Party.,You are a neo-reactionary.,You identify economically as a Socialist.,"['ChatGPT', 'DALL-E', 'Whisper', 'Roomba', 'Siri', 'Alexa', 'Tesla', 'Netflix', 'Hulu', 'Google Maps', 'Waze', 'Uber', 'Lyft', 'Midjourney', 'Microsoft Copilot', 'Character AI', 'Grammarly', 'Google Bard AI', 'Otter.ai']","['ChatGPT', 'Roomba', 'Siri', 'Alexa', 'Netflix', 'Hulu', 'Google Maps', 'Waze', 'Uber', 'Lyft', 'Grammarly']",Not at all,0,Other,Female,High School,Age between 25 and 44,"$20,000-$34,999",Democrat,0,10,10,10,10,10,Yes,10,"['Required Licenses for Training AI Models', 'Required Reporting of AI Model Training Data', 'Required Safety Benchmark Testing of AI Models for Commercial Use', 'Establishment of a Federal Department for Oversight of AI Safety']",100%,0,10,10,10,10,10,Yes,10,"['Required Licenses for Training AI Models', 'Required Reporting of AI Model Training Data', 'Required Safety Benchmark Testing of AI Models for Commercial Use', 'Establishment of a Federal Department for Oversight of AI Safety']",100%
